Bank Reconciliation,银行对账
The description of the transaction,关于该笔交易的详细描述及说明
Reference,参考号/支票号
The reference number of the transaction,该笔交易的参考单号或流水账号
Incorrectly Cleared Entries,异常清账的分录
This report shows all entries in the system where the <strong>clearance date is before the posting date</strong> which is incorrect.,此报表列出了系统中所有<strong>清账日期早于记账日期</strong>的异常分录记录。
There are no entries in the system where the clearance date is before the posting date.,目前系统中没有清账日期早于记账日期的分录记录。
It's all good!,一切正常！
Not Cleared,未清账
Force Clear,强制清账
Force Clear Voucher,强制清账凭证
Bank Transactions,银行交易流水
Date/Transaction Date/Value Date,日期栏关键词 (Date/Transaction Date...)
Withdrawal/Deposit,收支栏关键词 (Withdrawal/Deposit...)
Description/Particulars/Remarks/Narration/Detail,说明栏关键词 (Description/Remarks...)
Reference/Ref/Transaction ID/Cheque/Check,参考号关键词 (Reference/Cheque...)
Multiple Accounts (Journal Template),多科目（日记账模板）
Journal Template Accounts,日记账模板科目
No accounts configured,未配置科目
Bank GL Account,银行总账科目
Will be auto-populated,将自动填充
Help,帮助
Example,例如
Example:,例如：
This is the row for the bank account. It will be auto populated based on the bank transaction.,这是银行账号行。它将根据银行交易自动填充。
This is the last row. It will be auto populated based on the bank transaction.,这是最后一行。它将根据银行交易自动填充。
This will be auto-populated if not set.,如果未设置，将自动填充。
You can set up the rule to split the transaction across multiple accounts.,您可以设置规则，将交易拆分到多个科目中。
You can also add credit or debit values to pre-fill - these support both static values (like 200) or formulas (like transaction_amount * 0.25).,您还可以预填借方或贷方数值——支持静态值（如 200）或公式（如 transaction_amount * 0.25）。
"In this case, the amount will be calculated as 25% of the transaction amount. If the transaction amount is 200, then this will be calculated as 200 * 0.25 = 50.",在这种情况下，金额将按交易金额的 25% 计算。如果交易金额为 200，则计算结果为 200 * 0.25 = 50。
"Example: If the transaction amount is 200, then this will be calculated as {} = {}",例如：如果交易金额为 200，则该项的计算公式为 {} = {}
This is a formula based value.,这是一个基于公式的数值。
This is not a valid formula. Check the variable used in the formula.,这不是一个有效的公式。请检查公式中使用的变量。
Statement Details,对账账单详情
We've auto-detected the details of the statement file.,系统已自动检测并识别出账单文件的详细内容。
Please review the details below and click the 'Import' button to proceed.,请检查下表数据是否准确，确认无误后点击“导入”按钮继续。
Statement File,对账单文件
Transaction Dates,交易日期范围
{0} to {1},{0} 至 {1}
Number of Transactions,识别出的交易笔数
Closing Balance as of {},期末余额截至 {}
The amount format detected in the statement file. This is used to parse the deposit and withdrawal values from each row.,系统识别到的金额列排版格式。如：支出和收入分成两列，或是一列金额带正负号/借贷标识。
Separate columns for withdrawal and deposit,支出和收入分成了独立的两列
The date format detected in the statement file. This is used to parse the date values.,系统识别出的日期排版格式（如：年/月/日等）。
Preview Transactions,预览即将导入的交易
{0} transactions will be imported into the system. Please review the details below and click the 'Import' button to proceed.,共检测到 {0} 笔交易即将导入系统。请审核预览数据，并点击“导入”按钮执行导入。
Transactions to be imported into the system,即将导入系统的交易清单
Open {0} in a new tab,在新标签页中打开 {0}
Ref.,参考号
Import {0} transactions,导入这 {0} 笔交易
Importing...,正在导入...
Bank statement imported.,银行对账单导入成功。
Record Payment,录入付款
"Record a payment entry against a customer or supplier",针对客户或供应商录入付款凭证
Received from,收到自
Paid to,支付给
Party Type is required,必须选择业务伙伴类型
Select Party Type,选择业务伙伴类型
Select Mode of Payment,选择付款方式
Other Charges / Deductions,其他费用 / 扣除
Customer,客户
Supplier,供应商
Employee,员工
Shareholder,股东
Select Customer,选择客户
Select Supplier,选择供应商
Select Employee,选择员工
Select Shareholder,选择股东
Get Unpaid Invoices,获取未付发票
Select Invoices,选择发票
Invoices,发票
Total,总计
or,或
Clear Filters,清除筛选
transaction selected,笔交易已选择
transactions selected,笔交易已选择
No transaction selected,未选择交易
Select,选择
No vouchers found for this transaction,未找到该交易对应的凭证
Invoices:,发票:
Total:,总计:
Select Party,选择业务伙伴
Select Account,选择科目
Account is required,科目是必填项
Cost Center is required,成本中心是必填项
Reference is required,参考号是必填项
Reference Date is required,参考日期是必填项
Cancel,取消
Submit,提交
Other Charges / Deductions,其他费用 / 扣除
Account,科目
Cost Center,成本中心
Description,说明
Amount,金额
Add Row,添加行
Remove,删除
Select all,全选
Select row {0},选择第 {0} 行
Posting Date,过账日期
Reference,参考号
Reference Date,参考日期
Custom Remarks,自定义备注
This will be auto-populated if not set.,如果未设置将自动生成。
Attachments,附件
Undo,撤销
Undo Transaction Reconciliation,撤销交易对账
Are you sure you want to unreconcile this transaction?,您确定要取消该笔交易的对账吗？
Transaction Unreconciled,对账已取消
The following documents will be {0}:,以下单据将被 {0}:
cancelled,取消
Document,单据
Reconciliation Type,对账类型
Matched,已匹配
Voucher Created,已创建凭证
This transaction has been reconciled with the following document(s):,此交易已与以下单据对账：
No entries found,未找到分录
There are no accounting entries in the system for the selected account and dates.,所选账户和日期范围内没有会计分录。
"Clear Filters",清除筛选
"transaction selected",笔交易已选择
"transactions selected",笔交易已选择
"or",或
"No transaction selected",未选择交易
"Paid to",支付给
"Received from",收到自
"Reference",参考号
"Attachments",附件
"Custom Remarks",自定义备注
"Account",科目
"Amount",金额
"Cancel",取消
"Select",选择
"Submit",提交
"Other Charges / Deductions",其他费用 / 扣除
"Cost Center",成本中心
"Description",说明
"Invoices",发票
"Total",总计
"Posting Date",过账日期
"Reference Date",参考日期
"Get Unpaid Invoices",获取未付发票
"Select Invoices",选择发票
"Select Party Type",选择业务伙伴类型
"Party Type is required",必须填写业务伙伴类型
"Select Mode of Payment",选择付款方式
"Select Party",选择业务伙伴
"Account is required",必须填写科目
"Cost Center is required",必须填写成本中心
"Reference is required",必须填写参考号
"Reference Date is required",必须填写参考日期
"Select all",全选
"Select row {0}",选择第 {0} 行
"Add Row",添加行
"Remove",删除
"Undo",撤销
"Undo Transaction Reconciliation",撤销交易对账
"Are you sure you want to unreconcile this transaction?",您确定要取消此交易的对账吗？
"Transaction Unreconciled",对账已撤销
"The following documents will be {0}:",以下单据将被 {0}:
"cancelled",取消
"Document",单据
"Reconciliation Type",对账类型
"Matched",已匹配
"Voucher Created",已创建凭证
"This transaction has been reconciled with the following document(s):",此交易已与以下单据对账：
"No entries found",未找到分录
"There are no accounting entries in the system for the selected account and dates.",所选账户和日期范围内没有会计分录。
"Clear Filters",清除筛选
"Paid From (GL Account)",支付自 (会计科目)
"Paid To (GL Account)",支付至 (会计科目)
"Received From (GL Account)",收到自 (会计科目)
"Record a journal entry for expenses, income or split transactions",记录费用、收入或分笔交易的日记账分录
"Record a journal entry for expenses, income or split transactions.",记录费用、收入或分笔交易的日记账分录。
"Record an internal transfer to another bank/credit card/cash account",记录至另一个银行/信用卡/现金账户的内部调拨
"Record an internal transfer to another bank/credit card/cash account.",记录至另一个银行/信用卡/现金账户的内部调拨。
"Reconciliation History",对账历史
"View all reconciliation actions taken in this session.",查看本会话中的所有对账操作。
"View all reconciliation actions taken in this session",查看本会话中的所有对账操作

"Paid From",支付自
"Paid To",支付至

"Set closing balance as per bank statement",设置期末余额 (按对账单)
"Enter the closing balance you see in your bank statement for {0} as of the {1}",请输入 {0} 截止至 {1} 的对账单期末余额
"Closing balance on bank statement as of {0}",截止至 {0} 的对账单期末余额
"Balances as per bank statement before {0}",{0} 之前的对账单余额

"No reconciliation actions found",未找到对账记录
"You have not performed any reconciliations in this session yet.",你在本次会话中尚未执行任何对账操作。
"View all reconciliation actions taken in this session.",查看本次会话中执行的所有对账操作。
